day,confirmed,deaths,recovered
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,1,0,0
10,0,0,0
11,0,0,0
12,1,0,0
13,1,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,3
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,2,0,0
42,0,0,0
43,23,0,0
44,2,0,0
45,1,0,0
46,3,0,0
47,5,0,0
48,4,0,0
49,13,0,1
50,6,1,0
51,11,0,0
52,9,1,0
53,20,0,0
54,11,0,9
55,6,0,0
56,23,1,1
57,14,0,0
58,38,1,1
59,50,1,5
60,86,1,3
61,66,3,4
62,103,3,0
63,37,0,13
64,121,2,3
65,70,8,2
66,160,0,28
67,100,4,11
68,37,3,11
69,227,5,7
