day,confirmed,deaths,recovered
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,1,0,0
10,1,0,0
11,1,0,0
12,2,0,0
13,3,0,0
14,3,0,0
15,3,0,0
16,3,0,0
17,3,0,0
18,3,0,0
19,3,0,0
20,3,0,0
21,3,0,0
22,3,0,0
23,3,0,0
24,3,0,0
25,3,0,0
26,3,0,3
27,3,0,3
28,3,0,3
29,3,0,3
30,3,0,3
31,3,0,3
32,3,0,3
33,3,0,3
34,3,0,3
35,3,0,3
36,3,0,3
37,3,0,3
38,3,0,3
39,3,0,3
40,3,0,3
41,5,0,3
42,5,0,3
43,28,0,3
44,30,0,3
45,31,0,3
46,34,0,3
47,39,0,3
48,43,0,3
49,56,0,4
50,62,1,4
51,73,1,4
52,82,2,4
53,102,2,4
54,113,2,13
55,119,2,13
56,142,3,14
57,156,3,14
58,194,4,15
59,244,5,20
60,330,4,23
61,396,7,27
62,499,10,27
63,536,10,40
64,657,12,43
65,727,20,45
66,887,20,73
67,987,24,84
68,1024,27,95
69,1251,32,102
